model_type,features,features_text,n_features,MAE_train,RMSE_train,R2_train,MAE_test,RMSE_test,R2_test,sMAPE_test,AIC_train,BIC_train,adj_R2_train
statsmodels_ols,"['RE_ponderado_lag3', 'mat_eq_lag1', 'mes']",RE_ponderado_lag3 + mat_eq_lag1 + mes,3,2.0951209212405244,2.6757933054017897,0.07761086278701745,2.0099203858303643,2.808448763370796,-0.718263260771107,29.51679299647229,483.83051760601705,494.21099700655543,0.0484827847697652
statsmodels_ols,"['RE_ponderado_lag3', 'mat_eq_lag1']",RE_ponderado_lag3 + mat_eq_lag1,2,2.095340106839458,2.6766527019973108,0.07701827188705956,2.0116573658411636,2.783741680116428,-0.6881637022523162,29.543767915916362,481.8940999484228,489.6794594988266,0.05778948588470667
sklearn_linear_regression,"['RE_ponderado_lag3', 'mat_eq_lag1']",RE_ponderado_lag3 + mat_eq_lag1,2,2.0953401068394584,2.6766527019973108,0.07701827188705956,2.011657365841164,2.7837416801164276,-0.6881637022523157,29.543767915916362,,,
sklearn_linear_regression,"['RE_ponderado_lag2', 'mat_eq_lag1']",RE_ponderado_lag2 + mat_eq_lag1,2,2.0951971184924614,2.678280613737651,0.07589523511621943,2.028394373926561,2.6862803392898913,-0.5720246840059577,29.865503580344566,,,
statsmodels_ols,"['RE_ponderado_lag2', 'mat_eq_lag1']",RE_ponderado_lag2 + mat_eq_lag1,2,2.0951971184924614,2.678280613737651,0.07589523511621932,2.0283943739265626,2.6862803392898917,-0.5720246840059584,29.865503580344587,482.0144848404512,489.79984439085496,0.0566430525144741
sklearn_linear_regression,"['RE_ponderado_lag2', 'mat_eq_lag1', 'mes']",RE_ponderado_lag2 + mat_eq_lag1 + mes,3,2.0985774012776197,2.6747377080305337,0.07833848213668904,2.0406477663522447,2.7305517458022104,-0.6242673567093717,30.152417014536564,,,
statsmodels_ols,"['RE_ponderado_lag2', 'mat_eq_lag1', 'mes']",RE_ponderado_lag2 + mat_eq_lag1 + mes,3,2.0985774012776197,2.6747377080305337,0.07833848213668893,2.040647766352246,2.730551745802212,-0.6242673567093735,30.1524170145366,483.75239142314075,494.1328708236791,0.04923338157258439
statsmodels_ols,"['RE_ponderado_lag2', 'mes']",RE_ponderado_lag2 + mes,2,2.0900130443423697,2.6949833100712124,0.06433321256219526,2.0415122366967258,2.6951959909442853,-0.5824769684559035,30.365242418520396,483.2454478353487,491.0308073857525,0.044840154490574435
sklearn_linear_regression,"['RE_ponderado_lag2', 'mes']",RE_ponderado_lag2 + mes,2,2.0900130443423692,2.6949833100712124,0.06433321256219504,2.041512236696727,2.6951959909442857,-0.5824769684559044,30.365242418520406,,,
sklearn_linear_regression,"['RE_ponderado_lag1', 'mat_eq_lag1', 'mes']",RE_ponderado_lag1 + mat_eq_lag1 + mes,3,2.093136219552017,2.705601480992322,0.05694567750180668,2.042383968047768,2.661668507003195,-0.5433507101081119,30.36867529036612,,,
statsmodels_ols,"['RE_ponderado_lag1', 'mat_eq_lag1', 'mes']",RE_ponderado_lag1 + mat_eq_lag1 + mes,3,2.0931362195520165,2.705601480992322,0.05694567750180657,2.0423839680477687,2.661668507003195,-0.5433507101081121,30.368675290366127,486.0240303899197,496.40450979045806,0.027165014686074018
sklearn_linear_regression,"['RE_ponderado_lag1', 'mat_eq_lag1']",RE_ponderado_lag1 + mat_eq_lag1,2,2.0959547622182124,2.7077987743216374,0.05541329483684443,2.064070859093573,2.6351437151128785,-0.5127435344368831,30.745622549468948,,,
statsmodels_ols,"['RE_ponderado_lag1', 'mat_eq_lag1']",RE_ponderado_lag1 + mat_eq_lag1,2,2.0959547622182124,2.707798774321638,0.05541329483684432,2.064070859093573,2.635143715112878,-0.5127435344368825,30.74562254946896,484.1847663719562,491.97012592235995,0.0357344051459455
sklearn_linear_regression,"['pct_amb_fill_25_40', 'RE_ponderado_lag3']",pct_amb_fill_25_40 + RE_ponderado_lag3,2,2.0592570819939655,2.6484773084766493,0.09634726626964896,2.093228863623206,2.9029821720202036,-0.8358848224648998,31.131522609841404,,,
statsmodels_ols,"['pct_amb_fill_25_40', 'RE_ponderado_lag3']",pct_amb_fill_25_40 + RE_ponderado_lag3,2,2.059257081993949,2.6484773084766493,0.09634726626964896,2.0932288636232683,2.902982172020275,-0.8358848224649902,31.131522609842584,479.7988346813922,487.58419423179595,0.07752116765026673
statsmodels_ols,"['pct_amb_fill_25_40', 'RE_ponderado_lag3', 'mes']",pct_amb_fill_25_40 + RE_ponderado_lag3 + mes,3,2.055368889126185,2.6480327649525246,0.09665059471882831,2.0980362493080498,2.8895743777761638,-0.8189654475911388,31.199356435277544,481.7655978455274,492.1460772460658,0.0681237713941596
sklearn_linear_regression,"['pct_amb_fill_25_40', 'RE_ponderado_lag3', 'mes']",pct_amb_fill_25_40 + RE_ponderado_lag3 + mes,3,2.0553688891261834,2.6480327649525246,0.09665059471882831,2.0980362493080573,2.8895743777761718,-0.8189654475911488,31.199356435277686,,,
statsmodels_ols,"['pct_amb_fill_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1']",pct_amb_fill_25_40 + RE_ponderado_lag3 + mat_eq_lag1,3,2.0897712505986163,2.6289472961417615,0.10962529515694852,2.111428744156323,2.9172402034274962,-0.8539630496295465,31.132984401326564,480.33336226455566,490.71384166509404,0.08150819921453634
